,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
1200,1200,1200,1200,1200.0,1249,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","When training on an 8GB GPU, my model runs efficiently with batch size 1 or 2, but exceeds memory allocation beyond that. I suspect memory fragmentation or unoptimized tensor retention—what tools or methods would help me identify the exact memory bottleneck?",Known,Known Unknown,short,0.2195121951219512,0.2432432432432432,0.2307692307692307,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1201,1201,1201,1201,1201.0,1250,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","I'm encountering OOM errors on an 8GB GPU when batch size exceeds 2, even though smaller batches perform well. How can I systematically profile GPU memory consumption during training to determine whether the issue stems from activations, gradients, or operator overhead?",Known,Known Unknown,short,0.1463414634146341,0.1621621621621621,0.1538461538461538,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1202,1202,1202,1202,1202.0,1251,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","My PyTorch model runs fine with batch size 1 but crashes with CUDA out-of-memory for batch size >2 on an 8GB GPU. I’ve tried reducing model size, but I’m unsure where the memory usage spikes. What diagnostic approaches (e.g., torch.cuda.memory_summary(), nvtop, or profiler) would help pinpoint the cause?",Known,Known Unknown,short,0.125,0.1621621621621621,0.1411764705882353,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1203,1203,1203,1203,1203.0,1252,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","I observe a sharp memory usage cliff between batch sizes 2 and 3 on an 8GB GPU. I need to understand whether this is due to inefficient memory allocation, residual tensors, or layer-specific memory spikes. What’s the recommended workflow to debug and visualize memory allocation patterns in real time?",Known,Known Unknown,short,0.1428571428571428,0.1891891891891892,0.1627906976744186,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1204,1204,1204,1204,1204.0,1253,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","Training with batch size 2 works, but batch size 3 triggers CUDA OOM on my 8GB GPU—despite minimal model complexity. I’m not sure if this is a data loader issue, padded sequences, or internal caching. How should I investigate memory allocation per operation to isolate the root cause?",Known,Known Unknown,short,0.125,0.1621621621621621,0.1411764705882353,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1205,1205,1205,1205,1205.0,1254,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","Why does increasing batch size from 2 to 3 cause an out-of-memory error on an 8GB GPU? I’ve checked model parameters and input dimensions, but the jump seems disproportionate. Are there tools to trace memory usage per forward/backward pass to reveal hidden allocations?",Known,Known Unknown,short,0.1395348837209302,0.1621621621621621,0.15,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1206,1206,1206,1206,1206.0,1255,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",My model scales well with batch size 1 but fails catastrophically at batch size >2. I need a strategy to map memory consumption across layers and batches—what’s the most effective way to use PyTorch’s memory profiler or nvidia-smi to detect memory leaks or uncoalesced allocations?,Known,Known Unknown,short,0.1333333333333333,0.1621621621621621,0.1463414634146341,"('Professional/Formal', 'Neutral', 'Concise')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1207,1207,1207,1207,1207.0,1256,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","My model runs fine on GPU with batch size 1, but hits OOM at batch size 2 on an 8GB card. I'm not sure what's eating up so much memory—could it be intermediates, gradients, or something in my forward pass? Any tips on how to profile this properly?",Known,Known Unknown,short,0.125,0.1621621621621621,0.1411764705882353,"('Casual/Conversational', 'Hedging', 'Neutral')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1208,1208,1208,1208,1208.0,1257,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",I'm confused why my model crashes with OOM at batch size > 2 on an 8GB GPU when it flies with batch size 1. I don't know if this is normal for my architecture or if there's a memory leak. How do I check where the memory is actually being used?,Known,Known Unknown,short,0.1764705882352941,0.2432432432432432,0.2045454545454545,"('Casual/Conversational', 'Hedging', 'Neutral')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
1209,1209,1209,1209,1209.0,1258,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","Running with batch_size=1 is snappy, but batch_size=2 blows up my 8GB GPU. I’m not sure whether this is due to memory fragmentation, excessive caching, or just too many parameters. What tools should I use to dig into the memory usage pattern?",Known,Known Unknown,short,0.1219512195121951,0.1351351351351351,0.1282051282051282,"('Casual/Conversational', 'Hedging', 'Neutral')",19,19,19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,2,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?",Known Unknown,2
